Unnamed: 0,Solvent,Solute,COSMO_RS,UNIFAC,mod_UNIFAC_Ly,mod_UNIFAC_Do,Abraham,HSP,Hildebrand,MOSCED,Literature,Ref,Solvent_SMILES,Solute_SMILES,key_ID,Ensemble_1,Ensemble_2,Ensemble_3,Ensemble_4,Ensemble_5,Ensemble_6,Ensemble_7,Ensemble_8,Ensemble_9,Ensemble_10,Ensemble_11,Ensemble_12,Ensemble_13,Ensemble_14,Ensemble_15,Ensemble_16,Ensemble_17,Ensemble_18,Ensemble_19,Ensemble_20,Ensemble_21,Ensemble_22,Ensemble_23,Ensemble_24,Ensemble_25,Ensemble_26,Ensemble_27,Ensemble_28,Ensemble_29,Ensemble_30
2456,p-xylene,Cyclohexane,0.3074847,0.182321557,0.165514438,0.371563556,0.223143551,-0.15082289,-0.162518929,0.262364264,0.328830895,"['[54] ', '[61] ', '[61] ']",Cc1ccc(C)cc1,C1CCCCC1,Cc1ccc(C)cc1 C1CCCCC1,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Valid,Valid,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train
2457,p-xylene,2-methylpentane,0.412109651,0.329303747,0.198850859,0.418710335,0.488580015,,,0.488580015,0.304376295,"['[54] ', '[61] ', '[61] ', '[61] ']",Cc1ccc(C)cc1,CCCC(C)C,Cc1ccc(C)cc1 CCCC(C)C,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Valid,Train
2458,p-xylene,n-Heptane,0.457424847,0.357674444,0.223143551,0.371563556,0.470003629,0.131028262,0.182321557,0.418710335,0.388211532,"['[54] ', '[61] ', '[61] ', '[108] ']",Cc1ccc(C)cc1,CCCCCCC,Cc1ccc(C)cc1 CCCCCCC,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
2459,p-xylene,"2,4-dimethylpentane",0.431782416,0.350656872,0.223143551,0.371563556,0.542324291,,,0.565313809,0.380594665,"['[54] ', '[61] ', '[61] ', '[61] ']",Cc1ccc(C)cc1,CC(C)CC(C)C,Cc1ccc(C)cc1 CC(C)CC(C)C,Train,Train,Train,Train,Train,Train,Valid,Train,Valid,Train,Train,Valid,Train,Valid,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
2460,p-xylene,n-Octane,0.482426149,0.357674444,0.2390169,0.322083499,0.542324291,0.148420005,0.148420005,0.425267735,0.387363584,"['[54] ', '[61] ', '[61] ', '[61] ']",Cc1ccc(C)cc1,CCCCCCCC,Cc1ccc(C)cc1 CCCCCCCC,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test
2461,p-xylene,"2,3,4-trimethylpentane",0.418710335,0.350656872,0.2390169,0.322083499,0.277631737,,,,0.439481231,"['[54] ', '[61] ', '[61] ']",Cc1ccc(C)cc1,CC(C)C(C)C(C)C,Cc1ccc(C)cc1 CC(C)C(C)C(C)C,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid
2462,p-xylene,"2,5-dimethylhexane",0.476234179,0.357674444,0.2390169,0.322083499,,,,,0.506817602,[54] ,Cc1ccc(C)cc1,CC(C)CCC(C)C,Cc1ccc(C)cc1 CC(C)CCC(C)C,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test
2463,p-xylene,ethylcyclohexane,0.371563556,0.2390169,0.21511138,0.292669614,,,,0.371563556,0.351901248,"['[54] ', '[61] ', '[61] ']",Cc1ccc(C)cc1,CCC1CCCCC1,Cc1ccc(C)cc1 CCC1CCCCC1,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid
2464,p-xylene,n-Nonane,0.506817602,0.350656872,0.254642218,0.270027137,0.703097511,0.157003749,0.122217633,0.425267735,0.391506237,"['[54] ', '[61] ', '[61] ', '[61] ']",Cc1ccc(C)cc1,CCCCCCCCC,Cc1ccc(C)cc1 CCCCCCCCC,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test
2465,p-xylene,Benzene,-0.061875404,-0.116533816,-0.083381609,0.019802627,0.058268908,-0.261364764,-0.274436846,-0.040821995,0.028804156,"['[61] ', '[192] ']",Cc1ccc(C)cc1,c1ccccc1,Cc1ccc(C)cc1 c1ccccc1,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test
